"Inventarizēto meža zemes platību sadalījums pa zemes kategorijām (ha) - Meža īpašuma forma, Zemes kategorija, Teritoriālā vienība un Laika periods"

"Meža īpašuma forma","Zemes kategorija","Teritoriālā vienība","2024"
"Pavisam","Zem infrastruktūras objektiem","Madonas novads (no 01.07.2025.)",0
"Pavisam","Zem infrastruktūras objektiem","Madonas novads",4724
"Pavisam","Zem infrastruktūras objektiem","Mārupes novads",558
"Pavisam","Zem infrastruktūras objektiem","Ogres novads",3019
"Pavisam","Zem infrastruktūras objektiem","Olaines novads",1433
"Pavisam","Zem infrastruktūras objektiem","Preiļu novads",948
"Pavisam","Zem infrastruktūras objektiem","Rēzeknes novads",1644
"Pavisam","Zem infrastruktūras objektiem","Ropažu novads",1143
"Pavisam","Zem infrastruktūras objektiem","Salaspils novads",75
"Pavisam","Zem infrastruktūras objektiem","Saldus novads",3160
"Pavisam","Zem infrastruktūras objektiem","Saulkrastu novads",340
"Pavisam","Zem infrastruktūras objektiem","Siguldas novads",1177
"Pavisam","Zem infrastruktūras objektiem","Smiltenes novads",2901
"Pavisam","Zem infrastruktūras objektiem","Talsu novads",6032
"Pavisam","Zem infrastruktūras objektiem","Tukuma novads",2838
"Pavisam","Zem infrastruktūras objektiem","Valkas novads",2190
"Pavisam","Zem infrastruktūras objektiem","Valmieras novads",3573
"Pavisam","Zem infrastruktūras objektiem","Varakļānu novads",165
"Pavisam","Zem infrastruktūras objektiem","Ventspils novads",6104
"Pavisam","..ceļi","Latvija",24981
"Pavisam","..ceļi","Rīga",23
"Pavisam","..ceļi","Daugavpils",8
"Pavisam","..ceļi","Jelgava",2
"Pavisam","..ceļi","Jēkabpils",0
"Pavisam","..ceļi","Jūrmala",5
"Pavisam","..ceļi","Liepāja",1
"Pavisam","..ceļi","Ogre",1
"Pavisam","..ceļi","Rēzekne",0
"Pavisam","..ceļi","Valmiera",1
"Pavisam","..ceļi","Ventspils",5
"Pavisam","..ceļi","Aizkraukles novads",1413
"Pavisam","..ceļi","Alūksnes novads",834
"Pavisam","..ceļi","Augšdaugavas novads",749
"Pavisam","..ceļi","Ādažu novads",45
"Pavisam","..ceļi","Balvu novads",845
"Pavisam","..ceļi","Bauskas novads",1096
"Pavisam","..ceļi","Cēsu novads",532
"Pavisam","..ceļi","Dienvidkurzemes novads",1790
"Pavisam","..ceļi","Dobeles novads",539
"Pavisam","..ceļi","Gulbenes novads",1033
"Pavisam","..ceļi","Jelgavas novads",648
"Pavisam","..ceļi","Jēkabpils novads",1030
"Pavisam","..ceļi","Krāslavas novads",328
"Pavisam","..ceļi","Kuldīgas novads",1474
"Pavisam","..ceļi","Ķekavas novads",303
"Pavisam","..ceļi","Limbažu novads",741
"Pavisam","..ceļi","Līvānu novads",113
"Pavisam","..ceļi","Ludzas novads",601
"Pavisam","..ceļi","Madonas novads (no 01.07.2025.)",0
"Pavisam","..ceļi","Madonas novads",961
"Pavisam","..ceļi","Mārupes novads",72
"Pavisam","..ceļi","Ogres novads",920
"Pavisam","..ceļi","Olaines novads",268
"Pavisam","..ceļi","Preiļu novads",181
"Pavisam","..ceļi","Rēzeknes novads",470
"Pavisam","..ceļi","Ropažu novads",301
"Pavisam","..ceļi","Salaspils novads",17
"Pavisam","..ceļi","Saldus novads",882
"Pavisam","..ceļi","Saulkrastu novads",63
"Pavisam","..ceļi","Siguldas novads",280
"Pavisam","..ceļi","Smiltenes novads",754
"Pavisam","..ceļi","Talsu novads",1656
"Pavisam","..ceļi","Tukuma novads",873
"Pavisam","..ceļi","Valkas novads",437
"Pavisam","..ceļi","Valmieras novads",762
"Pavisam","..ceļi","Varakļānu novads",22
"Pavisam","..ceļi","Ventspils novads",1904
"Pavisam","..grāvji","Latvija",65317
"Pavisam","..grāvji","Rīga",15
"Pavisam","..grāvji","Daugavpils",8
"Pavisam","..grāvji","Jelgava",56
"Pavisam","..grāvji","Jēkabpils",0
"Pavisam","..grāvji","Jūrmala",8
"Pavisam","..grāvji","Liepāja",1
"Pavisam","..grāvji","Ogre",2
"Pavisam","..grāvji","Rēzekne",0
"Pavisam","..grāvji","Valmiera",0
"Pavisam","..grāvji","Ventspils",1
"Pavisam","..grāvji","Aizkraukles novads",3378
"Pavisam","..grāvji","Alūksnes novads",2108
"Pavisam","..grāvji","Augšdaugavas novads",1648
"Pavisam","..grāvji","Ādažu novads",93
"Pavisam","..grāvji","Balvu novads",2377
"Pavisam","..grāvji","Bauskas novads",2006
"Pavisam","..grāvji","Cēsu novads",1059
"Pavisam","..grāvji","Dienvidkurzemes novads",3740
"Pavisam","..grāvji","Dobeles novads",1510
"Pavisam","..grāvji","Gulbenes novads",2742
"Pavisam","..grāvji","Jelgavas novads",2250
"Pavisam","..grāvji","Jēkabpils novads",3006
"Pavisam","..grāvji","Krāslavas novads",371
"Pavisam","..grāvji","Kuldīgas novads",2119
"Pavisam","..grāvji","Ķekavas novads",829
"Pavisam","..grāvji","Limbažu novads",2697
"Pavisam","..grāvji","Līvānu novads",782
"Pavisam","..grāvji","Ludzas novads",1316
"Pavisam","..grāvji","Madonas novads (no 01.07.2025.)",0
"Pavisam","..grāvji","Madonas novads",3764
"Pavisam","..grāvji","Mārupes novads",486
"Pavisam","..grāvji","Ogres novads",2099
"Pavisam","..grāvji","Olaines novads",1165
"Pavisam","..grāvji","Preiļu novads",767
"Pavisam","..grāvji","Rēzeknes novads",1174
"Pavisam","..grāvji","Ropažu novads",842
"Pavisam","..grāvji","Salaspils novads",58
"Pavisam","..grāvji","Saldus novads",2278
"Pavisam","..grāvji","Saulkrastu novads",277
"Pavisam","..grāvji","Siguldas novads",896
"Pavisam","..grāvji","Smiltenes novads",2148
"Pavisam","..grāvji","Talsu novads",4376
"Pavisam","..grāvji","Tukuma novads",1965
"Pavisam","..grāvji","Valkas novads",1752
"Pavisam","..grāvji","Valmieras novads",2811
"Pavisam","..grāvji","Varakļānu novads",143
"Pavisam","..grāvji","Ventspils novads",4200
"Pavisam","Pārējās meža zemes","Latvija",19843
"Pavisam","Pārējās meža zemes","Rīga",38
"Pavisam","Pārējās meža zemes","Daugavpils",0
"Pavisam","Pārējās meža zemes","Jelgava",0
"Pavisam","Pārējās meža zemes","Jēkabpils",0
"Pavisam","Pārējās meža zemes","Jūrmala",25
"Pavisam","Pārējās meža zemes","Liepāja",17
