"Length of state and municipal roads and streets in regions, State cities and municipalities at the end of year (km) by Territorial unit, Types of surface, Indicator and Time period"
"Alūksne municipality","Crushed stone and gravel surfaces","State roads",277
"Alūksne municipality","Crushed stone and gravel surfaces","Municipal roads",608
"Alūksne municipality","Crushed stone and gravel surfaces","Municipal streets",34
"Augšdaugava municipality","Total","Total",2817
"Augšdaugava municipality","Total","State roads",881
"Augšdaugava municipality","Total","Municipal roads",1791
"Augšdaugava municipality","Total","Municipal streets",145
"Augšdaugava municipality","Asphalt and other bituminous surfaces","Total",643
"Augšdaugava municipality","Asphalt and other bituminous surfaces","State roads",475
"Augšdaugava municipality","Asphalt and other bituminous surfaces","Municipal roads",72
"Augšdaugava municipality","Asphalt and other bituminous surfaces","Municipal streets",96
"Augšdaugava municipality","Crushed stone and gravel surfaces","Total",2173
"Augšdaugava municipality","Crushed stone and gravel surfaces","State roads",406
"Augšdaugava municipality","Crushed stone and gravel surfaces","Municipal roads",1718
"Augšdaugava municipality","Crushed stone and gravel surfaces","Municipal streets",49
"Ādaži municipality","Total","Total",398
"Ādaži municipality","Total","State roads",55
"Ādaži municipality","Total","Municipal roads",88
"Ādaži municipality","Total","Municipal streets",255
"Ādaži municipality","Asphalt and other bituminous surfaces","Total",199
"Ādaži municipality","Asphalt and other bituminous surfaces","State roads",51
"Ādaži municipality","Asphalt and other bituminous surfaces","Municipal roads",26
"Ādaži municipality","Asphalt and other bituminous surfaces","Municipal streets",122
"Ādaži municipality","Crushed stone and gravel surfaces","Total",199
"Ādaži municipality","Crushed stone and gravel surfaces","State roads",4
"Ādaži municipality","Crushed stone and gravel surfaces","Municipal roads",61
"Ādaži municipality","Crushed stone and gravel surfaces","Municipal streets",134
"Balvi municipality","Total","Total",1597
"Balvi municipality","Total","State roads",563
"Balvi municipality","Total","Municipal roads",916
"Balvi municipality","Total","Municipal streets",118
"Balvi municipality","Asphalt and other bituminous surfaces","Total",363
"Balvi municipality","Asphalt and other bituminous surfaces","State roads",278
"Balvi municipality","Asphalt and other bituminous surfaces","Municipal roads",19
"Balvi municipality","Asphalt and other bituminous surfaces","Municipal streets",66
"Balvi municipality","Crushed stone and gravel surfaces","Total",1235
"Balvi municipality","Crushed stone and gravel surfaces","State roads",285
"Balvi municipality","Crushed stone and gravel surfaces","Municipal roads",897
"Balvi municipality","Crushed stone and gravel surfaces","Municipal streets",52
"Bauska municipality","Total","Total",2014
"Bauska municipality","Total","State roads",792
"Bauska municipality","Total","Municipal roads",1129
"Bauska municipality","Total","Municipal streets",93
"Bauska municipality","Asphalt and other bituminous surfaces","Total",505
"Bauska municipality","Asphalt and other bituminous surfaces","State roads",290
"Bauska municipality","Asphalt and other bituminous surfaces","Municipal roads",150
"Bauska municipality","Asphalt and other bituminous surfaces","Municipal streets",64
"Bauska municipality","Crushed stone and gravel surfaces","Total",1510
"Bauska municipality","Crushed stone and gravel surfaces","State roads",502
"Bauska municipality","Crushed stone and gravel surfaces","Municipal roads",979
"Bauska municipality","Crushed stone and gravel surfaces","Municipal streets",29
"Cēsis municipality","Total","Total",2670
"Cēsis municipality","Total","State roads",978
"Cēsis municipality","Total","Municipal roads",1427
"Cēsis municipality","Total","Municipal streets",266
"Cēsis municipality","Asphalt and other bituminous surfaces","Total",569
"Cēsis municipality","Asphalt and other bituminous surfaces","State roads",353
"Cēsis municipality","Asphalt and other bituminous surfaces","Municipal roads",71
"Cēsis municipality","Asphalt and other bituminous surfaces","Municipal streets",144
"Cēsis municipality","Crushed stone and gravel surfaces","Total",2102
"Cēsis municipality","Crushed stone and gravel surfaces","State roads",625
"Cēsis municipality","Crushed stone and gravel surfaces","Municipal roads",1355
"Cēsis municipality","Crushed stone and gravel surfaces","Municipal streets",121
"Dienvidkurzeme municipality","Total","Total",3078
"Dienvidkurzeme municipality","Total","State roads",935
"Dienvidkurzeme municipality","Total","Municipal roads",1881
"Dienvidkurzeme municipality","Total","Municipal streets",262
"Dienvidkurzeme municipality","Asphalt and other bituminous surfaces","Total",623
"Dienvidkurzeme municipality","Asphalt and other bituminous surfaces","State roads",416
"Dienvidkurzeme municipality","Asphalt and other bituminous surfaces","Municipal roads",80
"Dienvidkurzeme municipality","Asphalt and other bituminous surfaces","Municipal streets",126
"Dienvidkurzeme municipality","Crushed stone and gravel surfaces","Total",2456
"Dienvidkurzeme municipality","Crushed stone and gravel surfaces","State roads",519
"Dienvidkurzeme municipality","Crushed stone and gravel surfaces","Municipal roads",1801
"Dienvidkurzeme municipality","Crushed stone and gravel surfaces","Municipal streets",136
"Dobele municipality","Total","Total",1529
"Dobele municipality","Total","State roads",581
"Dobele municipality","Total","Municipal roads",872
"Dobele municipality","Total","Municipal streets",75
"Dobele municipality","Asphalt and other bituminous surfaces","Total",442
"Dobele municipality","Asphalt and other bituminous surfaces","State roads",281
"Dobele municipality","Asphalt and other bituminous surfaces","Municipal roads",109
"Dobele municipality","Asphalt and other bituminous surfaces","Municipal streets",52
"Dobele municipality","Crushed stone and gravel surfaces","Total",1086
"Dobele municipality","Crushed stone and gravel surfaces","State roads",300
"Dobele municipality","Crushed stone and gravel surfaces","Municipal roads",763
"Dobele municipality","Crushed stone and gravel surfaces","Municipal streets",23
"Gulbene municipality","Total","Total",1380
"Gulbene municipality","Total","State roads",574
"Gulbene municipality","Total","Municipal roads",697
"Gulbene municipality","Total","Municipal streets",109
"Gulbene municipality","Asphalt and other bituminous surfaces","Total",305
"Gulbene municipality","Asphalt and other bituminous surfaces","State roads",241
"Gulbene municipality","Asphalt and other bituminous surfaces","Municipal roads",8
"Gulbene municipality","Asphalt and other bituminous surfaces","Municipal streets",57
"Gulbene municipality","Crushed stone and gravel surfaces","Total",1074
"Gulbene municipality","Crushed stone and gravel surfaces","State roads",333
"Gulbene municipality","Crushed stone and gravel surfaces","Municipal roads",689
"Gulbene municipality","Crushed stone and gravel surfaces","Municipal streets",52
"Jelgava municipality","Total","Total",1552
"Jelgava municipality","Total","State roads",547
"Jelgava municipality","Total","Municipal roads",1005
"Jelgava municipality","Total","Municipal streets",0
"Jelgava municipality","Asphalt and other bituminous surfaces","Total",572
"Jelgava municipality","Asphalt and other bituminous surfaces","State roads",334
"Jelgava municipality","Asphalt and other bituminous surfaces","Municipal roads",237
"Jelgava municipality","Asphalt and other bituminous surfaces","Municipal streets",0
"Jelgava municipality","Crushed stone and gravel surfaces","Total",981
"Jelgava municipality","Crushed stone and gravel surfaces","State roads",213
"Jelgava municipality","Crushed stone and gravel surfaces","Municipal roads",768
"Jelgava municipality","Crushed stone and gravel surfaces","Municipal streets",0
"Jēkabpils municipality","Total","Total",2401
"Jēkabpils municipality","Total","State roads",814
"Jēkabpils municipality","Total","Municipal roads",1352
"Jēkabpils municipality","Total","Municipal streets",235
"Jēkabpils municipality","Asphalt and other bituminous surfaces","Total",479
"Jēkabpils municipality","Asphalt and other bituminous surfaces","State roads",309
"Jēkabpils municipality","Asphalt and other bituminous surfaces","Municipal roads",30
"Jēkabpils municipality","Asphalt and other bituminous surfaces","Municipal streets",140
"Jēkabpils municipality","Crushed stone and gravel surfaces","Total",1921
"Jēkabpils municipality","Crushed stone and gravel surfaces","State roads",504
"Jēkabpils municipality","Crushed stone and gravel surfaces","Municipal roads",1322
"Jēkabpils municipality","Crushed stone and gravel surfaces","Municipal streets",95
"Krāslava municipality","Total","Total",2183
"Krāslava municipality","Total","State roads",800
"Krāslava municipality","Total","Municipal roads",1250
"Krāslava municipality","Total","Municipal streets",133
"Krāslava municipality","Asphalt and other bituminous surfaces","Total",434
"Krāslava municipality","Asphalt and other bituminous surfaces","State roads",326
"Krāslava municipality","Asphalt and other bituminous surfaces","Municipal roads",27
"Krāslava municipality","Asphalt and other bituminous surfaces","Municipal streets",81
"Krāslava municipality","Crushed stone and gravel surfaces","Total",1749
"Krāslava municipality","Crushed stone and gravel surfaces","State roads",474
"Krāslava municipality","Crushed stone and gravel surfaces","Municipal roads",1223
"Krāslava municipality","Crushed stone and gravel surfaces","Municipal streets",52
"Kuldīga municipality","Total","Total",1973
"Kuldīga municipality","Total","State roads",707
"Kuldīga municipality","Total","Municipal roads",1111
"Kuldīga municipality","Total","Municipal streets",155
"Kuldīga municipality","Asphalt and other bituminous surfaces","Total",536
"Kuldīga municipality","Asphalt and other bituminous surfaces","State roads",382
"Kuldīga municipality","Asphalt and other bituminous surfaces","Municipal roads",53
"Kuldīga municipality","Asphalt and other bituminous surfaces","Municipal streets",102
"Kuldīga municipality","Crushed stone and gravel surfaces","Total",1436
"Kuldīga municipality","Crushed stone and gravel surfaces","State roads",325
"Kuldīga municipality","Crushed stone and gravel surfaces","Municipal roads",1058
"Kuldīga municipality","Crushed stone and gravel surfaces","Municipal streets",53
"Ķekava municipality","Total","Total",514
"Ķekava municipality","Total","State roads",179
"Ķekava municipality","Total","Municipal roads",168
"Ķekava municipality","Total","Municipal streets",167
"Ķekava municipality","Asphalt and other bituminous surfaces","Total",215
"Ķekava municipality","Asphalt and other bituminous surfaces","State roads",142
"Ķekava municipality","Asphalt and other bituminous surfaces","Municipal roads",18
"Ķekava municipality","Asphalt and other bituminous surfaces","Municipal streets",55
"Ķekava municipality","Crushed stone and gravel surfaces","Total",300
"Ķekava municipality","Crushed stone and gravel surfaces","State roads",37
"Ķekava municipality","Crushed stone and gravel surfaces","Municipal roads",150
"Ķekava municipality","Crushed stone and gravel surfaces","Municipal streets",113
"Limbaži municipality","Total","Total",2272
"Limbaži municipality","Total","State roads",729
"Limbaži municipality","Total","Municipal roads",1264
"Limbaži municipality","Total","Municipal streets",279
"Limbaži municipality","Asphalt and other bituminous surfaces","Total",513
"Limbaži municipality","Asphalt and other bituminous surfaces","State roads",383
"Limbaži municipality","Asphalt and other bituminous surfaces","Municipal roads",30
"Limbaži municipality","Asphalt and other bituminous surfaces","Municipal streets",100
"Limbaži municipality","Crushed stone and gravel surfaces","Total",1759
"Limbaži municipality","Crushed stone and gravel surfaces","State roads",346
"Limbaži municipality","Crushed stone and gravel surfaces","Municipal roads",1234
"Limbaži municipality","Crushed stone and gravel surfaces","Municipal streets",179
"Līvāni municipality","Total","Total",446
"Līvāni municipality","Total","State roads",175
"Līvāni municipality","Total","Municipal roads",217
"Līvāni municipality","Total","Municipal streets",54
"Līvāni municipality","Asphalt and other bituminous surfaces","Total",166
"Līvāni municipality","Asphalt and other bituminous surfaces","State roads",110
"Līvāni municipality","Asphalt and other bituminous surfaces","Municipal roads",9
"Līvāni municipality","Asphalt and other bituminous surfaces","Municipal streets",47
"Līvāni municipality","Crushed stone and gravel surfaces","Total",280
"Līvāni municipality","Crushed stone and gravel surfaces","State roads",64
"Līvāni municipality","Crushed stone and gravel surfaces","Municipal roads",208
"Līvāni municipality","Crushed stone and gravel surfaces","Municipal streets",8
"Ludza municipality","Total","Total",2160
"Ludza municipality","Total","State roads",781
"Ludza municipality","Total","Municipal roads",1219
"Ludza municipality","Total","Municipal streets",159
"Ludza municipality","Asphalt and other bituminous surfaces","Total",435
"Ludza municipality","Asphalt and other bituminous surfaces","State roads",303
"Ludza municipality","Asphalt and other bituminous surfaces","Municipal roads",21
"Ludza municipality","Asphalt and other bituminous surfaces","Municipal streets",111
"Ludza municipality","Crushed stone and gravel surfaces","Total",1725
"Ludza municipality","Crushed stone and gravel surfaces","State roads",478
"Ludza municipality","Crushed stone and gravel surfaces","Municipal roads",1198
"Ludza municipality","Crushed stone and gravel surfaces","Municipal streets",48
"Madona municipality","Total","Total",2464
"Madona municipality","Total","State roads",923
"Madona municipality","Total","Municipal roads",1367
"Madona municipality","Total","Municipal streets",174
"Madona municipality","Asphalt and other bituminous surfaces","Total",520
"Madona municipality","Asphalt and other bituminous surfaces","State roads",354
"Madona municipality","Asphalt and other bituminous surfaces","Municipal roads",52
"Madona municipality","Asphalt and other bituminous surfaces","Municipal streets",115
"Madona municipality","Crushed stone and gravel surfaces","Total",1945
"Madona municipality","Crushed stone and gravel surfaces","State roads",569
"Madona municipality","Crushed stone and gravel surfaces","Municipal roads",1316
"Madona municipality","Crushed stone and gravel surfaces","Municipal streets",60
"Mārupe municipality","Total","Total",413
"Mārupe municipality","Total","State roads",99
"Mārupe municipality","Total","Municipal roads",163
"Mārupe municipality","Total","Municipal streets",151
