Municipality,OSM_Roads_km,Segments,Official_Roads_km,Completeness_%
Ķepovas pag.,88.06,79,0.0,0.0
Ķoņu pag.,196.71,305,0.0,0.0
Ķūļciema pag.,129.96,251,0.0,0.0
Ļaudonas pag.,332.52,372,0.0,0.0
Ņukšu pag.,123.94,173,0.0,0.0
Šēderes pag.,253.66,375,0.0,0.0
Šķaunes pag.,173.59,138,0.0,0.0
Šķeltovas pag.,143.19,131,0.0,0.0
Šķilbēnu pag.,207.05,329,0.0,0.0
Šķēdes pag.,164.19,280,0.0,0.0
Ūdrīšu pag.,250.7,370,0.0,0.0
Žīguru pag.,199.8,170,0.0,0.0
