municipality_name,osm_road_km,num_segments,road_length_km,completeness_pct,category,difference_km
Suntažu pag.,352.37,514,,,No data,
Sunākstes pag.,179.68,262,,,No data,
Susāju pag.,260.84,323,,,No data,
Sutru pag.,113.83,104,,,No data,
Svariņu pag.,165.14,155,,,No data,
Sventes pag.,327.18,473,,,No data,
Svitenes pag.,99.27,209,,,No data,
Svētes pag.,155.89,605,,,No data,
Sējas pag.,508.1,1598,,,No data,
Sēlpils pag.,207.33,259,,,No data,
Sēmes pag.,387.11,661,,,No data,
Sērenes pag.,231.06,331,,,No data,
Sēļu pag.,83.73,96,,,No data,
Sīļukalna pag.,120.81,61,,,No data,
Tabores pag.,142.44,181,,,No data,
Tadaiķu pag.,155.55,371,,,No data,
Talsi,219.84,2495,280.4,78.4,Partial,-60.56
Taurenes pag.,183.5,379,,,No data,
Taurupes pag.,184.32,227,,,No data,
Tilžas pag.,168.43,197,,,No data,
Tirzas pag.,185.39,222,,,No data,
Tomes pag.,441.92,858,,,No data,
Trapenes pag.,182.29,282,,,No data,
Trikātas pag.,243.71,542,,,No data,
Tukums,277.21,3056,380.2,72.91,Partial,-102.99
Tumes pag.,293.65,767,,,No data,
Turku pag.,159.53,179,,,No data,
Turlavas pag.,244.09,583,,,No data,
Tārgales pag.,804.82,1268,,,No data,
Tērvetes pag.,309.59,817,,,No data,
Tīnūžu pag.,609.6,2538,,,No data,
Ugāles pag.,519.89,729,,,No data,
Ukru pag.,129.76,147,,,No data,
Umurgas pag.,250.29,411,,,No data,
Upmalas pag.,161.98,181,,,No data,
Usmas pag.,237.21,328,,,No data,
Užavas pag.,332.11,563,,,No data,
Vaboles pag.,165.29,234,,,No data,
Vadakstes pag.,121.13,129,,,No data,
Vaidavas pag.,214.56,453,,,No data,
Vaives pag.,353.99,676,,,No data,
Vaiņodes pag.,316.83,499,,,No data,
Valdemārpils,74.26,445,,,No data,
Valdgales pag.,312.31,734,,,No data,
Valgundes pag.,458.71,942,,,No data,
Valka,173.55,993,,,No data,
Valkas pag.,462.92,584,,,No data,
Valles pag.,393.07,1045,,,No data,
Valmiera,449.42,5391,290.6,154.65,Over-mapped,158.82
Valmieras pag.,267.07,1039,,,No data,
Vandzenes pag.,343.89,805,,,No data,
Vangaži,66.11,529,,,No data,
Varakļāni,64.56,396,,,No data,
Varakļānu pag.,133.46,186,,,No data,
Variešu pag.,272.75,385,,,No data,
Variņu pag.,173.99,207,,,No data,
Vecates pag.,102.03,98,,,No data,
Vecauces pag.,78.69,112,,,No data,
Veclaicenes pag.,170.66,392,,,No data,
Vecpiebalgas pag.,258.77,527,,,No data,
Vecpils pag.,166.72,253,,,No data,
Vecsalienas pag.,160.39,149,,,No data,
Vecsaules pag.,322.82,594,,,No data,
Vectilžas pag.,106.57,119,,,No data,
Vecumnieku pag.,629.62,1233,,,No data,
Vecumu pag.,221.33,285,,,No data,
Ventspils,803.65,6413,340.7,235.88,Over-mapped,462.95
Veselavas pag.,136.14,295,,,No data,
Vestienas pag.,272.2,413,,,No data,
Vidrižu pag.,222.43,582,,,No data,
Viesatu pag.,88.55,136,,,No data,
Viesturu pag.,151.78,222,,,No data,
Viesīte,69.88,760,,,No data,
Viesītes pag.,388.16,339,,,No data,
Vietalvas pag.,258.41,397,,,No data,
Vijciema pag.,192.67,210,,,No data,
Vilces pag.,235.68,446,,,No data,
Vilpulkas pag.,132.18,117,,,No data,
Virbu pag.,128.33,427,,,No data,
Vircavas pag.,170.69,287,,,No data,
Virešu pag.,226.32,254,,,No data,
Virgas pag.,182.62,268,,,No data,
Viļaka,63.79,321,,,No data,
Viļāni,59.94,410,,,No data,
Viļānu pag.,213.75,286,,,No data,
Viļķenes pag.,316.11,445,,,No data,
Višķu pag.,267.75,607,,,No data,
Vānes pag.,229.73,345,,,No data,
Vārkavas pag.,160.76,127,,,No data,
Vārmes pag.,261.17,417,,,No data,
Vārves pag.,359.93,791,,,No data,
Vērgales pag.,411.95,853,,,No data,
Vērēmu pag.,219.59,607,,,No data,
Vīksnas pag.,190.84,196,,,No data,
Vīpes pag.,127.6,180,,,No data,
Vītiņu pag.,204.89,214,,,No data,
Zalves pag.,305.86,322,,,No data,
Zantes pag.,143.15,214,,,No data,
Zasas pag.,162.45,198,,,No data,
Zaubes pag.,246.2,371,,,No data,
Zaļenieku pag.,248.15,586,,,No data,
Zaļesjes pag.,237.92,420,,,No data,
Zaņas pag.,152.46,269,,,No data,
Zebrenes pag.,155.47,158,,,No data,
Zeltiņu pag.,104.63,180,,,No data,
Zemītes pag.,213.78,712,,,No data,
Zentenes pag.,206.4,266,,,No data,
Ziemera pag.,247.77,696,,,No data,
Zilupe,54.81,441,,,No data,
Zilākalna pag.,43.75,110,,,No data,
Ziru pag.,288.91,322,,,No data,
Zirņu pag.,352.28,529,,,No data,
Zlēku pag.,239.42,347,,,No data,
Zosēnu pag.,142.67,129,,,No data,
Zvirgzdenes pag.,147.53,173,,,No data,
Zvārdes pag.,246.29,184,,,No data,
Zvārtavas pag.,296.39,316,,,No data,
Ābeļu pag.,207.52,279,,,No data,
Ādažu pag.,970.49,6338,,,No data,
Ārlavas pag.,316.13,559,,,No data,
Čornajas pag.,250.14,512,,,No data,
Ēdoles pag.,393.11,710,,,No data,
Ērgļu pag.,286.12,501,,,No data,
Ērģemes pag.,275.65,453,,,No data,
Ēveles pag.,109.93,162,,,No data,
Ģibuļu pag.,706.81,1575,,,No data,
Īles pag.,165.4,211,,,No data,
Īslīces pag.,197.83,274,,,No data,
Īvandes pag.,195.25,366,,,No data,
Īves pag.,144.93,289,,,No data,
Ķegums,87.08,716,,,No data,
Ķeipenes pag.,199.25,407,,,No data,
Ķekavas pag.,1039.17,5006,,,No data,
Ķepovas pag.,88.06,79,,,No data,
Ķoņu pag.,196.71,305,,,No data,
Ķūļciema pag.,129.96,251,,,No data,
Ļaudonas pag.,332.52,372,,,No data,
Ņukšu pag.,123.94,173,,,No data,
Šēderes pag.,253.66,375,,,No data,
Šķaunes pag.,173.59,138,,,No data,
Šķeltovas pag.,143.19,131,,,No data,
Šķilbēnu pag.,207.05,329,,,No data,
Šķēdes pag.,164.19,280,,,No data,
Ūdrīšu pag.,250.7,370,,,No data,
Žīguru pag.,199.8,170,,,No data,
